sim_nr,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,acorr_GDP,U_1st,U_2nd,dU_1st,dU_2nd,dU_3rd,dU_4th,corr_GDP_dU,GINI_I_1st,GINI_I_2nd,GINI_W_1st,GINI_W_2nd,LP_g_1st,LP_g_2nd,EE_g_1st,EE_g_2nd,EF_g_1st,EF_g_2nd,FGT_1st,FGT_2nd,em2030,em2040,em2050
3688,0.41497604708936253,3.1902139921392427,0.8500056576377878,4.382616788834688,0.5127882335025438,0.03498393351800554,0.008982231852262235,NaN,NaN,NaN,NaN,NaN,0.0823628770745629,1.848704404720532e-5,0.6073932480176544,0.03432728407727942,-0.012468793082930186,0.0074423654914239365,-0.0046858109236140024,0.00022490788477950045,0.002240415805890647,0.00024358785129827273,0.005795750300970081,0.0003847797291085759,189.4654421673023,200.33887956388318,207.08408035870963
3689,0.13314154638678824,1.735070749192793,0.3574106205048792,0.9386872464661966,0.1314398620366664,1.329639889196676e-5,1.9378270236996e-8,NaN,NaN,NaN,NaN,NaN,0.11884204086543339,4.68556242202613e-6,0.5707638795404684,0.001777236859655431,-0.03358653667467884,0.02266830337389198,0.003422564961084619,8.43765030624012e-5,0.0035183665397500786,0.00034767935058988686,0.0,0.0,107.15033641551099,118.3053640085257,126.9466557185815
3690,0.020832794406133174,0.30456229981746663,0.3595576712912104,1.1224566576832675,0.25794892705439976,0.013615512465373963,2.6862869806094176e-5,16.15018585465791,9448.279259285988,8.17294090135785,91.60313173670627,0.013112774005771969,0.09303047421037274,1.596567369059255e-5,0.1244157998364068,3.2553765908482115e-5,-0.04958484391664114,0.04561030076108543,-0.0003508788702377941,9.23623956114819e-5,0.004483057138962949,0.0012776826666878265,0.0,0.0,103.77373518923685,109.9804391017891,116.16055783852856
3691,0.005706473646055685,0.1076084867324659,-1.4889331661931013,7.456545306101363,0.5895760166632106,0.02757008310249307,2.1089324715297017e-5,1.4742088694891122,304.53147253406667,0.36221055483594594,0.47574390758931884,0.14468964872999004,0.09241397834446989,7.007999747924884e-7,0.13667303238001224,1.7419615566553237e-6,-0.09673154193563446,0.00039080512559388906,-0.00010102616835334482,0.0001174579503079654,0.00543314333763245,0.0002226863855426331,0.0,0.0,108.46558783849017,123.75721811551396,137.7046583950489
3692,0.008696907710698755,0.06385783538701546,-0.2353785062827351,1.4024472505516723,0.5223056065311942,0.03622714681440443,2.3844705447830106e-5,1.0722360097705066,214.34695344343865,0.2717748183588428,0.036881893441488955,-0.1940390564149741,0.03389730374272476,1.8097198267088386e-6,0.04136313920041759,1.14621147975513e-6,-0.05192105308626216,0.00011509592900220883,-0.005464982297436714,6.260879734721231e-5,-0.0014862073837825433,1.8609249350030418e-5,0.0,0.0,106.31225354292404,111.84404949563485,120.29435359047395
3693,0.09106200681676281,1.1941479026402686,-1.3683781712995835,3.232371196508514,0.7642129425082734,0.0004354570637119112,6.191837488457988e-7,NaN,NaN,NaN,NaN,NaN,0.14151344785927314,8.338417999742658e-7,0.22665884544118836,6.030252388575227e-6,-0.18439273277757776,0.02059894249821821,-0.0289364279547897,0.001641304421734183,0.0046371713695166,0.0021317232256401024,1.646367866964723e-7,9.725768089650805e-14,124.58610811316883,146.545195663066,168.83853159388948
3694,0.02873296313098262,1.1593043032413028,0.5728045258861747,1.2041645908821605,0.27955329298464887,0.017722991689750688,5.6132831024930745e-5,19.388501479322883,5786.409755458314,3.091769396949883,17.857513356411978,-0.16719097611292508,0.14374680417309313,1.158559500421108e-5,0.17618665496721236,2.5608775268704607e-5,-0.07916639797689246,0.0032941092023772663,-0.020417422051365257,0.0008393541702794838,0.020139652984272043,0.0008513014796785936,0.0,0.0,105.33073723771403,109.58678140979136,112.77191900663232
3695,0.19207377062424225,1.574665901736623,-0.021880023040292247,2.5766737640202297,0.25659298427030214,0.1397983379501385,0.0005877129972299169,0.7340672218364965,235.34133341585922,0.4218725178090788,0.17737176726640325,-0.22770943934162663,0.0867880502911537,9.929586049249139e-6,0.20441585894293532,0.0009799244183364892,-0.04548356354118468,0.05094991962725612,0.009377308314648508,0.0011998382457873388,-0.001916203931035469,0.0041886937892844376,0.000537743851176127,6.974163714079324e-7,114.67474177084762,131.6645664425845,142.16843366283953
3696,0.020312210193887084,0.08182207859254992,0.1273318593422387,0.9051897846956041,0.039569809954290464,0.04353795013850416,2.2165916897506923e-5,0.5536454975710551,107.31320734980434,0.37517025793870745,0.011835884115849016,-0.20162254880813477,0.07349034839398451,1.860020829232609e-6,0.14120423909699173,6.756842801129904e-7,-0.10440431193326634,0.0005301681286835096,-0.00017558870141781864,0.0002215924652215053,-0.0013032226696709334,0.00025964324599958994,0.0,0.0,117.0494310701368,133.89171677073406,147.38926003973174
3697,0.38963376010534406,18.29284814643826,0.06933161196199615,1.1811107954837352,-0.03438100077939233,0.0032520775623268703,8.603772483841184e-5,NaN,NaN,NaN,NaN,NaN,0.13277321842459464,6.693768176499977e-5,0.5127004493337731,0.003621470771300199,-0.05926700868706631,1.1317363349239948,-0.0022434897510195118,0.0025040014338230496,0.0018101087114566555,0.001217669619935339,0.0,0.0,112.27133234201669,127.28664793380169,132.18947085032974
